k,WCSS,BCSS,CH_index
2,3907.3930789061747,732.6980309006428,235.7073901302837
3,3567.792668633477,1072.2984411733416,188.74511038075065
4,3403.827665746935,1236.263444059883,151.93783534814477
5,3293.958086687353,1346.1330231194663,128.1172047857961
6,3207.7360915747054,1432.3550182321133,111.90077902972274
7,3130.1789301214926,1509.912179685326,100.65505791456758
8,3068.3132896391094,1571.7778201677086,91.54839285197896
9,3009.2320968426293,1630.859012964189,84.67998232606274
10,2960.992591414472,1679.0985183923458,78.6971104649519
11,2913.783551504963,1726.3075583018554,73.93932303749729
12,2880.9803995592656,1759.1107102475526,69.21920986008406
13,2844.8072760031205,1795.2838338036984,65.52651433217142
14,2816.3190671302227,1823.772042676596,62.01756316039252
15,2787.8038355697504,1852.287274237069,59.03892979819849
16,2760.6767156131705,1879.4143941936477,56.413996340599724
17,2733.8179014658413,1906.2732083409762,54.12740099409186
18,2708.221877905998,1931.86923190082,52.07344903283987
19,2687.732634594436,1952.358475212381,50.0406194943125
20,2665.141980147314,1974.949129659504,48.32293106759287
21,2648.6859996815306,1991.4051101252874,46.53929394861324
22,2627.1163141395873,2012.974795667231,45.13458365770887
23,2602.140915501643,2037.9501943051753,44.000594509687346
24,2588.184037221055,2051.9070725857628,42.56980449545482
25,2569.9272991514017,2070.1638106554155,41.41787303983777
26,2558.0062608656035,2082.0848489412147,40.143930185312364
27,2541.7907101897936,2098.3003996170246,39.11697253382964
28,2530.074910993301,2110.0161988135173,38.02302789465916
29,2512.4267971411496,2127.6643126656677,37.201184862901776
30,2498.209840187306,2141.881269619513,36.33459831387623
31,2485.461473430965,2154.629636375854,35.484828092669815
32,2471.886507841406,2168.204601965412,34.71799239780298
33,2457.34308608032,2182.7480237264976,34.031281237335556
34,2446.9056928566083,2193.18541695021,33.272104160545894
35,2427.349850922984,2212.741258883834,32.81714223828441
36,2422.1413326837423,2217.949777123076,31.997101558962914
37,2406.244933298252,2233.8461765085667,31.512447626016893
38,2394.4630528883445,2245.628056918475,30.94878653020723
39,2384.775515264416,2255.3155945424032,30.362396881141827
40,2373.83114657342,2266.2599632333972,29.840012530271782
41,2361.7548202432245,2278.3362895635937,29.37448858898352
42,2349.0854208095407,2291.0056889972766,28.94903421967011
43,2338.0370686873775,2302.0540411194406,28.506795920424285
44,2327.8380095793723,2312.2531002274454,28.066640867853604
45,2316.1483621600028,2323.9427476468154,27.683759007131897
46,2305.024756835642,2335.0663529711765,27.306869749126577
47,2293.3821222792235,2346.7089875275956,26.96047888374832
48,2274.7420523153824,2365.3490574914363,26.79226117094843
49,2267.6128448455224,2372.478264961296,26.374088974304993
50,2265.7414070598734,2374.3497027469452,25.85619193964975
51,2252.40414827956,2387.686961527259,25.611086285097155
52,2254.380175543757,2385.7109342630606,25.045387666526636
53,2244.4438547101663,2395.6472550966523,24.754724047044007
54,2238.923960742532,2401.167149064287,24.38339792598217
55,2217.5371853853158,2422.553924421503,24.35764344726054
56,2203.883672192819,2436.207437613998,24.17845439623487
57,2202.5749970908855,2437.5161127159313,23.753807405247205
58,2191.028665260462,2449.0624445463573,23.551574739683037
59,2181.564273061558,2458.526836745261,23.316329989673147
60,2180.631258300834,2459.4598515059847,22.920531054283245
61,2167.189145834377,2472.901963972441,22.78324866516127
62,2162.222705452932,2477.8684043538856,22.487549369282206
63,2151.0196638098537,2489.071445996964,22.321967542830784
64,2145.4978809356003,2494.5932288712174,22.054590840276976
65,2134.401862559442,2505.6892472473755,21.90157619282764
66,2131.4442333481193,2508.646876458698,21.601934549572423
67,2125.547067145057,2514.544042661761,21.365882731336665
68,2119.063428619363,2521.0276811874546,21.148064033277464
69,2113.1674697109656,2526.923640095852,20.92648327002965
70,2105.098359798276,2534.992750008542,20.750907411343125
71,2100.4824881029,2539.608621703918,20.519469487012813
72,2094.7403802458493,2545.350729560969,20.31467125870366
73,2084.180371706326,2555.910738100493,20.200521139965765
74,2076.5366007102366,2563.554509096581,20.040034101621963
75,2068.121056080527,2571.970053726292,19.898023250926343
76,2059.067051811897,2581.0240579949204,19.77174700177062
77,2058.5634837457883,2581.5276260610294,19.503672534764473
78,2049.4008191905996,2590.690290616219,19.38865863956523
79,2037.9501409772975,2602.140968829521,19.316332405503122
80,2029.1015115176367,2610.9895982891817,19.203840096559915
81,2026.8867551499914,2613.2043546568266,18.984501242879876
82,2020.7889601735735,2619.302149633245,18.83458618328564
83,2010.6285357722268,2629.4625740345905,18.755498907302293
84,2003.4493645073833,2636.6417452994347,18.63084392331197
85,1999.9639529489584,2640.1271568578586,18.449792543111077
86,1993.1804889905436,2646.910620816275,18.326171046237796
87,1985.4452887818343,2654.6458210249834,18.221235563397293
88,1985.0556321726444,2655.0354776341733,18.00260234362266
89,1973.8924690391784,2666.1986407676395,17.958588622983015
90,1967.7418239637798,2672.3492858430377,17.838141694266973
91,1962.1414668896455,2677.9496429171727,17.712196573139874
92,1957.2141946023467,2682.876915204471,17.578906473338193
93,1956.2148319343623,2683.876277872454,17.388281700928697
94,1951.819396476316,2688.2717133305005,17.253472245467464
95,1944.890233879405,2695.2008759274117,17.160153576039335
96,1940.637147051537,2699.4539627552813,17.02894310526214
97,1933.6958484351544,2706.3952613716633,16.94095756373966
98,1929.4025128732035,2710.6885969336154,16.815789974838445
99,1921.161529902171,2718.929579904647,16.751974046818482
