k,silhouette_avg
2,0.194288476692758
3,0.12254542280921506
4,0.09487792957844786
5,0.08130409059055646
6,0.08227965153772261
7,0.07328660809876508
8,0.07617967074414392
9,0.06371312248008736
10,0.05940247209229783
11,0.05342360300320849
12,0.05733099801004313
13,0.055244626656409945
14,0.05175745791439889
15,0.04883786185813148
16,0.050993286083316165
17,0.05103456802188988
18,0.05068117221231248
19,0.05101151012435286
20,0.05565053053281617
21,0.053394931714001136
22,0.05432351937887197
23,0.05538701725890698
24,0.053823436770305516
25,0.05090336133492903
26,0.05111908527350252
27,0.05037777682612287
28,0.05972224306648472
29,0.05434157704917116
30,0.04895024045253939
31,0.050309631884958704
32,0.048458465911901755
33,0.045322170894968476
34,0.05416329770655241
35,0.05203402027297703
36,0.04734831266247623
37,0.04870053225097927
38,0.05101125409970998
39,0.05066494940533122
40,0.04565168473574176
41,0.04758878389270401
42,0.04631519048551804
43,0.046776702686897154
44,0.04694139871864823
45,0.046814118726922344
46,0.04686025293341246
47,0.04759038840145335
48,0.04864434424201459
49,0.048460430790737655
50,0.04668085586240249
51,0.048152703043474576
52,0.04825548455392224
53,0.04728272650461645
54,0.044642650136985734
55,0.05238097954190818
56,0.05269423145544622
57,0.052975694188147134
58,0.05059700660973263
59,0.04705490079218777
60,0.04600342016647048
61,0.04414373580972959
62,0.04382073401616893
63,0.04708776026793376
64,0.046268645300216425
65,0.04727295112008016
66,0.04302987113565364
67,0.05219690581244311
68,0.043942679645690465
69,0.04419074671886929
70,0.04578286820232828
71,0.04578153182327462
72,0.04571567301875708
73,0.048232390566979415
74,0.05113273703148322
75,0.04844097492225857
76,0.05072914566515119
77,0.04639690279506901
78,0.04581974407834582
79,0.046331297152684595
80,0.047015771635463596
81,0.04746833487713077
82,0.047400082933194164
83,0.04601031978997468
84,0.04625558735405603
85,0.05157179444069471
86,0.04909166739711484
87,0.04798213871216579
88,0.047474314971168226
89,0.052792707745835964
90,0.052938730769819024
91,0.05314513518777955
92,0.05328839993468439
93,0.05317854608274238
94,0.05332269723541921
95,0.05342997226118138
96,0.03873549882606438
97,0.04666973741825577
98,0.040033885193201744
99,0.04082322323485121
