method,k,silhouette_avg
complete,89,0.041013260638102574
complete,90,0.04101018977810062
complete,91,0.041082655862848344
complete,92,0.04134780401645538
complete,93,0.041388319516604294
complete,94,0.04186106933582664
complete,95,0.04225781810700574
complete,96,0.04216833238664935
complete,97,0.042073644038362834
complete,98,0.04217664980361118
complete,99,0.04223410863482864
weighted,2,0.33215774555084526
weighted,3,0.2965695446562688
weighted,4,0.25985334963622986
weighted,5,0.2530616465946254
weighted,6,0.06209100177439145
weighted,7,0.061050200850904575
weighted,8,0.05876868833365482
weighted,9,0.057607684201412074
weighted,10,0.05803056672596862
weighted,11,0.05682732518691416
weighted,12,0.05486711977968935
weighted,13,0.04738533490235125
weighted,14,0.04668003976516666
weighted,15,0.047839880112106006
weighted,16,0.04756676105993559
weighted,17,0.047419128015050056
weighted,18,0.04555523718843135
weighted,19,0.044618634873638284
weighted,20,0.047374487414294855
weighted,21,0.0463876584980426
weighted,22,0.04548461024636451
weighted,23,0.04540436232743541
weighted,24,0.046367414183634464
weighted,25,0.045987176886452846
weighted,26,0.04096590244013224
weighted,27,0.040551811323517366
weighted,28,0.04063579891219359
weighted,29,0.039988676578614914
weighted,30,0.038947429202284514
weighted,31,0.0382980129831279
weighted,32,0.03803116313387171
weighted,33,0.020407924887125253
weighted,34,0.019549344538441985
weighted,35,0.019300978999164664
weighted,36,0.022737574040760516
weighted,37,0.021644637568893437
weighted,38,0.019456111190938718
weighted,39,0.019174306807443704
weighted,40,0.019530113583851504
weighted,41,0.01928270471731692
weighted,42,0.01885516970501955
weighted,43,0.01847541257492095
weighted,44,0.01826328121450588
weighted,45,0.017155883895702266
weighted,46,0.015823918253902555
weighted,47,0.016338072607188434
weighted,48,0.01530324984636503
weighted,49,0.016122525267684196
weighted,50,0.01501718868347142
weighted,51,0.015272389061101121
weighted,52,0.024906261451102887
weighted,53,0.024815642840287904
weighted,54,0.02462553043372781
weighted,55,0.02482003059789015
weighted,56,0.02482017892763046
weighted,57,0.02460484318346349
weighted,58,0.024014364618667745
weighted,59,0.024058558066865503
weighted,60,0.02440790662041736
weighted,61,0.02412227474594708
weighted,62,0.022677767860749643
weighted,63,0.020085109542672605
weighted,64,0.02023178511227533
weighted,65,0.01874768226842377
weighted,66,0.017818960977759462
weighted,67,0.017524995826197272
weighted,68,0.018374099784693055
weighted,69,0.01828697523119592
weighted,70,0.018153169207598026
weighted,71,0.01477811890442895
weighted,72,0.015091223979328322
weighted,73,0.014737422089378161
weighted,74,0.0243901847936338
weighted,75,0.027261200012348764
weighted,76,0.026619967829933443
weighted,77,0.026547411274275973
weighted,78,0.026712218982202534
weighted,79,0.02638567326243125
weighted,80,0.03334248790352328
weighted,81,0.03326893958023217
weighted,82,0.03391951330303078
weighted,83,0.0350528033410444
weighted,84,0.03477769135435478
weighted,85,0.033947817669636914
weighted,86,0.03374479712787167
weighted,87,0.03483697379737588
weighted,88,0.0351809874092409
weighted,89,0.03525617448219313
weighted,90,0.03521094296642055
weighted,91,0.03455125246653621
weighted,92,0.03490873045034011
weighted,93,0.034571292775164665
weighted,94,0.03444137965985318
weighted,95,0.035917393665632597
weighted,96,0.03658985648913782
weighted,97,0.034618002896121776
weighted,98,0.03335706996669367
weighted,99,0.03345089462589819
